id,priority,category,year,title,authors,venue,scope,relation,url,landing
A01,必读,01_直接结构不确定性_FreeForm_SR,2026,Are you sure? A Comprehensive and Comprehensible Survey of Uncertainty Quantification in Symbolic Regression,Julia Reuter; Fabricio Olivetti de Franca,arXiv 2026,综述,当前最系统的 SR-UQ 综述，明确把模型结构不确定性列入 UQ，并系统整理 Bayesian SR、模型选择与结构 UQ 文献。,https://arxiv.org/pdf/2606.06567.pdf,https://arxiv.org/abs/2606.06567
A02,必读,01_直接结构不确定性_FreeForm_SR,2026,Bayesian Symbolic Regression with Entropic Reinforcement Learning,Oussama Boussif et al.,UAI 2026 / PMLR 337,自由形式表达式后验,ERRLESS 直接学习表达式后验分布，用最大熵 RL 对 expression structure sampling，与你想把 LLM-SR 从单解升级为结构 posterior 高度重合。,https://arxiv.org/pdf/2608.09617.pdf,https://proceedings.mlr.press/v337/boussif26a.html
A03,必读,01_直接结构不确定性_FreeForm_SR,2026,Bayesian Symbolic Regression via Posterior Sampling,Geoffrey F. Bomarito; Patrick E. Leser,Philosophical Transactions A 2026,自由形式表达式后验,用 SMC 近似 symbolic expression 的 posterior，明确维护多模态结构后验，而非只保留一个最佳公式。,https://arxiv.org/pdf/2512.10849.pdf,https://arxiv.org/abs/2512.10849
A04,必读,01_直接结构不确定性_FreeForm_SR,2026,Probabilistic Symbolic Regression for Equation Discovery via Operator-Induced and Regularized Symbolic Forests,Somjit Roy; Pritam Dey; Bani K. Mallick; Debdeep Pati,"arXiv 2025-2026, HierBOSSS",自由形式结构 posterior / non-identifiability,最接近你的结构 identifiability 问题。论文明确指出 symbolic representations non-identifiable，并用 Occam's window posterior summary 保留多个 plausible symbolic structures。,https://arxiv.org/pdf/2509.19710.pdf,https://arxiv.org/abs/2509.19710
A05,必读,01_直接结构不确定性_FreeForm_SR,2026,VaSST: Variational Inference for Symbolic Regression using Soft Symbolic Trees,Somjit Roy; Pritam Dey; Bani K. Mallick,UAI 2026 / PMLR 337,变分结构 posterior,把离散符号树连续松弛为 soft symbolic trees，用变分推断得到 symbolic structures 的 posterior，属于另一条结构 UQ 技术路线。,https://arxiv.org/pdf/2602.23561.pdf,https://proceedings.mlr.press/v337/roy26a.html
A06,高,01_直接结构不确定性_FreeForm_SR,2026,Uncertainty-Aware Symbolic Regression through Bayesian Support Selection,Satadeep Bhattacharjee,arXiv 2026,支持集结构 posterior,输出 competing descriptor supports 的 posterior probability，直接展示确定性 SR 会掩盖的多个竞争结构。限制是基于 SISSO support space。,https://arxiv.org/pdf/2606.04042.pdf,https://arxiv.org/abs/2606.04042
A07,高,01_直接结构不确定性_FreeForm_SR,2019,Bayesian Symbolic Regression,Ying Jin; Weilin Fu; Jian Kang; Jiadong Guo; Jian Guo,arXiv 2019,MCMC 符号树 posterior,早期自由形式 Bayesian SR，通过 MCMC 从 symbolic-tree posterior 采样，是后续结构 posterior 方法的重要基础。,https://arxiv.org/pdf/1910.08892.pdf,https://arxiv.org/abs/1910.08892
A08,必读,01_直接结构不确定性_FreeForm_SR,2020,A Bayesian machine scientist to aid in the solution of challenging scientific problems,Roger Guimera et al.,Science Advances 2020,模型 posterior / machine scientist,对闭式模型建立 marginal posterior，MCMC 搜索模型空间，并学习表达式结构 prior，是 Bayesian machine scientist 主线的奠基工作。,https://arxiv.org/pdf/2004.12157.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6994216/
A09,必读,01_直接结构不确定性_FreeForm_SR,2026,Bayesian symbolic regression: automated equation discovery from a physicist's perspective,Roger Guimera; Marta Sales-Pardo,Philosophical Transactions A 2026,理论视角 / 模型集合,从统计物理与 Bayesian 角度解释为什么 SR 应考虑 model ensembles 而非单一最优模型，适合建立问题定义。,https://arxiv.org/pdf/2507.19540.pdf,https://arxiv.org/abs/2507.19540
A10,高,01_直接结构不确定性_FreeForm_SR,2023,Priors for Symbolic Regression,Deaglan J. Bartlett; Harry Desmond; Pedro G. Ferreira,GECCO 2023,结构 prior / model evidence,研究结构 prior 与 Bayesian evidence，在多个竞争 symbolic models 间进行有原则的模型比较。,https://arxiv.org/pdf/2304.06333.pdf,https://arxiv.org/abs/2304.06333
